Note,Note_FR,octave,freq,color_notes
A0,la0,0,27.500000000000046,white_note
A#1,la#1,1,29.135235094880667,black_note
B1,si1,1,30.867706328507804,white_note
C1,do1,1,32.70319566257488,white_note
C#1,do#1,1,34.64782887210906,black_note
D1,ré1,1,36.708095989675996,white_note
D#1,ré#1,1,38.890872965260165,black_note
E1,mi1,1,41.2034446141088,white_note
F1,fa1,1,43.65352892912554,white_note
F#1,fa#1,1,46.24930283895436,black_note
G1,sol1,1,48.99942949771872,white_note
G#1,sol#1,1,51.913087197493205,black_note
A1,la1,1,55.000000000000064,white_note
A#2,la#2,2,58.270470189761305,black_note
B2,si2,2,61.73541265701558,white_note
C2,do2,2,65.40639132514973,white_note
C#2,do#2,2,69.29565774421809,black_note
D2,ré2,2,73.41619197935196,white_note
D#2,ré#2,2,77.7817459305203,black_note
E2,mi2,2,82.40688922821757,white_note
F2,fa2,2,87.30705785825106,white_note
F#2,fa#2,2,92.49860567790869,black_note
G2,sol2,2,97.99885899543742,white_note
G#2,sol#2,2,103.82617439498638,black_note
A2,la2,2,110.0000000000001,white_note
A#3,la#3,3,116.54094037952258,black_note
B3,si3,3,123.47082531403113,white_note
C3,do3,3,130.81278265029943,white_note
C#3,do#3,3,138.59131548843615,black_note
D3,ré3,3,146.83238395870387,white_note
D#3,ré#3,3,155.56349186104055,black_note
E3,mi3,3,164.81377845643505,white_note
F3,fa3,3,174.61411571650203,white_note
F#3,fa#3,3,184.99721135581729,black_note
G3,sol3,3,195.99771799087472,white_note
G#3,sol#3,3,207.65234878997265,black_note
A3,la3,3,220.00000000000009,white_note
A#4,la#4,4,233.08188075904505,black_note
B4,si4,4,246.94165062806215,white_note
C4,do4,4,261.62556530059874,white_note
C#4,do#4,4,277.1826309768722,black_note
D4,ré4,4,293.66476791740763,white_note
D#4,ré#4,4,311.126983722081,black_note
E4,mi4,4,329.62755691287,white_note
F4,fa4,4,349.22823143300394,white_note
F#4,fa#4,4,369.99442271163446,black_note
G4,sol4,4,391.9954359817493,white_note
G#4,sol#4,4,415.3046975799451,black_note
A4,la4,4,440.0,white_note
A#5,la#5,5,466.1637615180899,black_note
B5,si5,5,493.8833012561241,white_note
C5,do5,5,523.2511306011974,white_note
C#5,do#5,5,554.3652619537443,black_note
D5,ré5,5,587.3295358348153,white_note
D#5,ré#5,5,622.253967444162,black_note
E5,mi5,5,659.2551138257401,white_note
F5,fa5,5,698.456462866008,white_note
F#5,fa#5,5,739.988845423269,black_note
G5,sol5,5,783.9908719634989,white_note
G#5,sol#5,5,830.6093951598906,black_note
A5,la5,5,880.0000000000003,white_note
A#6,la#6,6,932.3275230361802,black_note
B6,si6,6,987.7666025122486,white_note
C6,do6,6,1046.502261202395,white_note
C#6,do#6,6,1108.7305239074888,black_note
D6,ré6,6,1174.6590716696307,white_note
D#6,ré#6,6,1244.5079348883241,black_note
E6,mi6,6,1318.5102276514804,white_note
F6,fa6,6,1396.9129257320162,white_note
F#6,fa#6,6,1479.9776908465383,black_note
G6,sol6,6,1567.981743926998,white_note
G#6,sol#6,6,1661.2187903197814,black_note
A6,la6,6,1760.000000000001,white_note
A#7,la#7,7,1864.6550460723606,black_note
B7,si7,7,1975.5332050244976,white_note
C7,do7,7,2093.0045224047904,white_note
C#7,do#7,7,2217.4610478149784,black_note
D7,ré7,7,2349.3181433392624,white_note
D#7,ré#7,7,2489.0158697766497,black_note
E7,mi7,7,2637.020455302962,white_note
F7,fa7,7,2793.825851464034,white_note
F#7,fa#7,7,2959.9553816930784,black_note
G7,sol7,7,3135.963487853998,white_note
G#7,sol#7,7,3322.4375806395647,black_note
A7,la7,7,3520.000000000004,white_note
A#8,la#8,8,3729.310092144724,black_note
B8,si8,8,3951.066410048998,white_note
C8,do8,8,4186.009044809583,white_note
C#8,do#8,8,4434.92209562996,black_note
D8,ré8,8,4698.6362866785275,white_note
D#8,ré#8,8,4978.031739553302,black_note
E8,mi8,8,5274.040910605927,white_note
F8,fa8,8,5587.651702928071,white_note
F#8,fa#8,8,5919.91076338616,black_note
G8,sol8,8,6271.926975707999,white_note
G#8,sol#8,8,6644.875161279134,black_note
A8,la8,8,7040.000000000013,white_note
A#9,la#9,9,7458.6201842894525,black_note
B9,si9,9,7902.132820098001,white_note
C9,do9,9,8372.018089619172,white_note
C#9,do#9,9,8869.844191259925,black_note
D9,ré9,9,9397.27257335706,white_note
D#9,ré#9,9,9956.06347910661,black_note
E9,mi9,9,10548.08182121186,white_note
F9,fa9,9,11175.303405856148,white_note
F#9,fa#9,9,11839.821526772326,black_note
G9,sol9,9,12543.853951416006,white_note
G#9,sol#9,9,13289.750322558275,black_note
A9,la9,9,14080.000000000033,white_note
A#10,la#10,10,14917.240368578912,black_note
B10,si10,10,15804.265640196008,white_note
C10,do10,10,16744.036179238352,white_note
C#10,do#10,10,17739.688382519857,black_note
D10,ré10,10,18794.54514671413,white_note
D#10,ré#10,10,19912.126958213226,black_note
E10,mi10,10,21096.163642423726,white_note
F10,fa10,10,22350.606811712303,white_note
F#10,fa#10,10,23679.64305354466,black_note
G10,sol10,10,25087.70790283202,white_note
G#10,sol#10,10,26579.500645116557,black_note
A10,la10,10,28160.000000000073,white_note
